id,number,group,name,brand,category,type,is_defective,is_favorite
resource-0323-kmd,0323-KMD-,KMD,MOTOCULTEUR 150 MD 190AE,VALPANDA BLITZ,machine,KMD04,false,false
resource-0322-vgo,0322-VGO-,VGO,GATOR 6X4 DIESEL GAZONBANDEN,JOHN DEERE,voertuig,JDGA 6X4D,false,false
resource-0320-trc,0320-TRC-,TRC,COMPAKT TRAKTOR 3720,JOHN DEERE,machine,3720 HST,false,false
resource-0318-vcc,0318-VCC-,VCC,Gesloten camionet C MICHEL,FIAT,voertuig,"NEW DUCATO 40 L-LH2 3,0 JTD",false,false
resource-0317-tal,0317-TAL-,TAL,BLADBLAZER WIEDENMANN WHISOER TWISTER,WIEDENMANN,machine,WHISOER TWISTER,false,false
resource-0316-trs,0316-TRS-,TRS,SMALSPOORTRAKTOR 4X4 95PK + FL V21,NEW HOLLAND,machine,T4050 F 300 07 +frontlift,false,false
resource-0315-tal,0315-TAL-,TAL,TRANSPORTBAK TBL 180,,werktuig,Transportbak TBL 180,false,false
resource-0309-trw,0309-TRW-,TRW,3 DELIGE MOTORWEL JACOBSEN,Van de woestijne,machine,TRW08-jacobsen,false,false
resource-0308-trs,0308-TRS-,TRS,SMALSPOORTREKKER 4X4 95PK + FL V20,NEW HOLLAND,machine,T4050F + frontlift,false,false
resource-0307-trs,0307-TRS-,TRS,SMALSPOORTREKKER + SPROEIER,STEYER,machine,STEYR COMPACT 4075,false,false
resource-0306-trb,0306-TRB-,TRB,WEIDEMAN WIELLADER 1250CX35 V7,WEIDEMANN,machine,1250CX35,false,false
resource-0305-tal,0305-TAL-,TAL,AGRATOR FREES WB 210,AGRATOR,werktuig,TMA44 Type AR2100 AGRATOR FREES,false,false
resource-0304-mc5,0304-MC5-,MC5,5 Delige cylindermaaier 350 cm werkbreedte,JOHN DEERE,werktuig,1905 4WD,false,false
resource-0303-mc5,0303-MC5-,MC5,5 Delige cylindermaaier 350 cm werkbreedte,JOHN DEERE,werktuig,1905 4WD,false,false
resource-0294-tdo,0294-TDO-,TDO,GEDRAGEN DOORZAAIMACHINE VREDO DZ SPORT,VREDO,machine,VREDO DOORZAAIMACHINE,false,false
resource-0291-mc3,0291-MC3-,MC3,3 Delige cylindermaaier TR3 180 cm werkbreedte met opvangbakken TR3,JACOBSEN,werktuig,TR 3,false,false
resource-0290-mc5-g,0290-MC5 G-,MC5,GOLF 5 Delige fairway cylindermaaier met groomers,JACOBSON,werktuig,LF3800 5,false,false
resource-0289-mc3,0289-MC3-,MC3,Greensplex 3 Delige green maaier met groomers en opvangbakken,JACOBSON,werktuig,GREENPLEX,false,false
resource-0288-whm,0288-WHM-,WHM,HEFTRUCK DIESEL TCM,TCM,machine,FD25 Z1,false,false
resource-0282-whm,0282-WHM-,WHM,hogedrukreiniger dibo,dibo,machine,Levering HD reiniger,false,false
resource-0280-trw,0280-TRW-,TRW,3 DELIGE MOTORWEL JACOBSEN,Van de woestijne,machine,TRW06-jacobsen,false,false
resource-0279-trs,0279-TRS-,TRS,SMALSPOORTRAKTOR 4X4 95PK + FL V18,NEW HOLLAND,machine,TNF95FA + frontlift,false,false
resource-0277-tsl,0277-TSL-,TSL,SLEEP GKB GEDRAAIDE BAREN,GKB,machine,Sleepraam,false,false
resource-0275-tal,0275-TAL-,TAL,KORO TOPFIELDMAKER FREES EN OF VERTICUTEERDER WB200,KORO,werktuig,FTM2000,false,false
resource-0273-tdu,0273-TDU-,TDU,DAKOTA BEZANDINGSWAGEN Turf 414,DAKOTA,voertuig,DAKOTA 414,false,false
resource-0272-tdu,0272-TDU-,TDU,DAKOTA BEZANDINGSWAGEN Turf 420,DAKOTA,voertuig,BEZANDINGSWAGEN DAKOTA 420,false,false
resource-0268-mr3,0268-MR3-,MR3,3 Delige rotatieve maaier 260 cm werkbreedte,RANSOMES,werktuig,HR6010,false,false
resource-0267-mc3,0267-MC3-,MC3,3 Delige cylindermaaier TR3 WB 180 met opvangbakken,JACOBSEN,werktuig,TR 3,false,false
resource-0266-mc5,0266-MC5-,MC5,5 Delige cylindermaaier 350 cm werkbreedte,JOHN DEERE,werktuig,1905 4WD,false,false
resource-0263-kmb,0263-KMB-,KMB,BILLY GOAT VERTICUTEERDER 50,BILLY GOAT,machine,VERTICUT PRO 50CM,false,false
resource-0258-kmb,0258 KMB,KMB,Bladblazer 4-mix,STIHL,machine,BR 550,false,false
resource-0256-vco,0256-VCO-,VCO,CONTAINER MULTILIFT H80 L600,,machine,VCO06 CONTAINER H80,false,false
resource-0254-trw,0254-TRW-,TRW,Bomag BW120AD TRILWALS,BOMAG,werktuig,BW 120 AD,false,false
resource-0253-trw,0253-TRW-,TRW,3 DELIGE MOTORWEL JACOBSEN,Van de woestijne,machine,TRW05-jacobsen,false,false
